#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %
172.0    0.03093     +2.6    -9.0    +8.6    -8.6
174.0    0.02974     +2.6    -9.0    +8.6    -8.6
175.0    0.02916     +2.6    -9.0    +8.6    -8.6
176.0    0.02860     +2.6    -9.0    +8.6    -8.6
178.0    0.02752     +2.6    -9.0    +8.6    -8.6
180.0    0.02650     +2.6    -9.0    +8.6    -8.6
182.0    0.02552     +2.6    -9.0    +8.7    -8.7
184.0    0.02460     +2.6    -9.0    +8.7    -8.7
185.0    0.02415     +2.6    -9.0    +8.7    -8.7
186.0    0.02371     +2.6    -9.0    +8.7    -8.7
188.0    0.02286     +2.6    -9.0    +8.7    -8.7
190.0    0.02205     +2.6    -9.0    +8.7    -8.7
192.0    0.02127     +2.6    -9.0    +8.7    -8.7
194.0    0.02053     +2.6    -9.0    +8.7    -8.7
195.0    0.02017     +2.6    -9.0    +8.7    -8.7
196.0    0.01982     +2.6    -9.0    +8.7    -8.7
198.0    0.01913     +2.6    -9.0    +8.8    -8.8
200.0    0.01848     +2.6    -9.1    +8.8    -8.8
202.0    0.01785     +2.6    -9.1    +8.8    -8.8
204.0    0.01725     +2.7    -9.1    +8.8    -8.8
206.0    0.01668     +2.7    -9.1    +8.8    -8.8
208.0    0.01613     +2.7    -9.1    +8.8    -8.8
210.0    0.01561     +2.7    -9.1    +8.8    -8.8
212.0    0.01511     +2.8    -9.2    +8.8    -8.8
214.0    0.01462     +2.8    -9.2    +8.8    -8.8
216.0    0.01416     +2.8    -9.2    +8.8    -8.8
218.0    0.01372     +2.9    -9.2    +8.9    -8.9
220.0    0.01329     +2.9    -9.2    +8.9    -8.9
222.0    0.01289     +3.0    -9.3    +8.9    -8.9
224.0    0.01249     +3.0    -9.3    +8.9    -8.9
226.0    0.01212     +3.1    -9.3    +8.9    -8.9
228.0    0.01176     +3.1    -9.4    +8.9    -8.9
230.0    0.01141     +3.1    -9.4    +9.0    -9.0
232.0    0.01108     +3.1    -9.4    +9.0    -9.0
234.0    0.01076     +3.1    -9.4    +9.0    -9.0
236.0    0.01046     +3.1    -9.4    +9.0    -9.0
238.0    0.01016     +3.2    -9.4    +9.0    -9.0
240.0    0.009876    +3.2    -9.5    +9.0    -9.0
242.0    0.009600    +3.2    -9.5    +9.0    -9.0
244.0    0.009333    +3.3    -9.5    +9.1    -9.1
246.0    0.009077    +3.4    -9.6    +9.1    -9.1
248.0    0.008830    +3.4    -9.6    +9.1    -9.1
250.0    0.008592    +3.5    -9.7    +9.2    -9.2
252.0    0.008365    +3.6    -9.7    +9.2    -9.2
254.0    0.008145    +3.7    -9.7    +9.2    -9.2
256.0    0.007934    +3.7    -9.8    +9.2    -9.2
258.0    0.007730    +3.8    -9.8    +9.2    -9.2
260.0    0.007533    +3.9    -9.9    +9.2    -9.2
262.0    0.007342    +4.0    -9.9    +9.2    -9.2
264.0    0.007157    +4.1    -10.0   +9.2    -9.2
266.0    0.006979    +4.1    -10.0   +9.2    -9.2
268.0    0.006806    +4.2    -10.1   +9.2    -9.2
270.0    0.006640    +4.3    -10.1   +9.3    -9.3
272.0    0.006478    +4.4    -10.2   +9.3    -9.3
274.0    0.006322    +4.5    -10.2   +9.3    -9.3
276.0    0.006172    +4.6    -10.3   +9.4    -9.4
278.0    0.006026    +4.6    -10.3   +9.4    -9.4
280.0    0.005886    +4.7    -10.4   +9.5    -9.5
282.0    0.005752    +4.8    -10.4   +9.5    -9.5
284.0    0.005622    +4.9    -10.5   +9.5    -9.5
286.0    0.005496    +5.0    -10.5   +9.6    -9.6
288.0    0.005374    +5.1    -10.6   +9.7    -9.7
290.0    0.005257    +5.2    -10.6   +9.7    -9.7
292.0    0.005142    +5.3    -10.7   +9.8    -9.8
294.0    0.005031    +5.4    -10.7   +9.8    -9.8
296.0    0.004924    +5.5    -10.8   +9.9    -9.9
298.0    0.004819    +5.6    -10.9   +9.9    -9.9
300.0    0.004718    +5.6    -10.9   +10.0   -10.0
305.0    0.004478    +5.7    -10.9   +10.1   -10.1
310.0    0.004255    +5.6    -11.0   +10.3   -10.3
315.0    0.004047    +5.5    -11.0   +10.4   -10.4
320.0    0.003853    +5.5    -11.0   +10.5   -10.5
325.0    0.003672    +5.6    -11.1   +10.7   -10.7
330.0    0.003501    +5.7    -11.2   +10.9   -10.9
335.0    0.003342    +5.9    -11.3   +11.0   -11.0
340.0    0.003192    +6.1    -11.4   +11.2   -11.2
345.0    0.003053    +6.2    -11.5   +11.3   -11.3
350.0    0.002921    +6.4    -11.6   +11.5   -11.5
360.0    0.002680    +6.7    -11.8   +11.8   -11.8
370.0    0.002466    +6.9    -12.0   +12.2   -12.2
380.0    0.002273    +7.2    -12.2   +12.6   -12.6
390.0    0.002100    +7.5    -12.3   +13.0   -13.0
400.0    0.001943    +7.8    -12.5   +13.5   -13.5
