#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %  σ(gg→ ZH) (fb)
226.0    0.04144     +4.3    -4.3    +3.7    -3.7    4.300
228.0    0.04001     +4.3    -4.3    +3.7    -3.7    4.105
230.0    0.03860     +4.3    -4.3    +3.8    -3.8    3.917
232.0    0.03728     +4.2    -4.2    +3.8    -3.8    3.738
234.0    0.03600     +4.2    -4.2    +3.8    -3.8    3.566
236.0    0.03478     +4.2    -4.2    +3.8    -3.8    3.397
238.0    0.03359     +4.1    -4.1    +3.9    -3.9    3.232
240.0    0.03245     +4.1    -4.1    +3.9    -3.9    3.073
242.0    0.03135     +4.0    -4.0    +3.9    -3.9    2.921
244.0    0.03030     +4.0    -4.0    +3.9    -3.9    2.780
246.0    0.02929     +4.0    -4.0    +3.9    -3.9    2.641
248.0    0.02831     +3.9    -3.9    +4.0    -4.0    2.512
250.0    0.02738     +3.9    -3.9    +4.0    -4.0    2.382
252.0    0.02647     +3.8    -3.8    +4.0    -4.0    2.261
254.0    0.02560     +3.8    -3.8    +4.0    -4.0    2.148
256.0    0.02476     +3.8    -3.8    +4.0    -4.0    2.038
258.0    0.02396     +3.7    -3.7    +4.1    -4.1    1.933
260.0    0.02318     +3.7    -3.7    +4.1    -4.1    1.834
262.0    0.02243     +3.7    -3.7    +4.1    -4.1    1.743
264.0    0.02171     +3.6    -3.6    +4.1    -4.1    1.655
266.0    0.02101     +3.6    -3.6    +4.2    -4.2    1.568
268.0    0.02034     +3.6    -3.6    +4.2    -4.2    1.485
270.0    0.01969     +3.5    -3.5    +4.2    -4.2    1.408
272.0    0.01907     +3.5    -3.5    +4.2    -4.2    1.334
274.0    0.01848     +3.5    -3.5    +4.3    -4.3    1.265
276.0    0.01790     +3.4    -3.4    +4.3    -4.3    1.199
278.0    0.01734     +3.4    -3.4    +4.3    -4.3    1.136
280.0    0.01681     +3.4    -3.4    +4.3    -4.3    1.076
282.0    0.01630     +3.3    -3.3    +4.3    -4.3    1.019
284.0    0.01579     +3.3    -3.3    +4.4    -4.4    0.9655
286.0    0.01532     +3.3    -3.3    +4.4    -4.4    0.9147
288.0    0.01485     +3.2    -3.2    +4.4    -4.4    0.8678
290.0    0.01441     +3.2    -3.2    +4.4    -4.4    0.8205
292.0    0.01398     +3.2    -3.2    +4.4    -4.4    0.7770
294.0    0.01356     +3.1    -3.1    +4.5    -4.5    0.7354
296.0    0.01315     +3.1    -3.1    +4.5    -4.5    0.6962
298.0    0.01276     +3.1    -3.1    +4.5    -4.5    0.6590
