#mH (GeV) 	GammaH (GeV) 	+width % 	-width % 
190	1.04	0.549717348	0.549444598
192	1.12	0.548873186	0.54882056
194	1.2	0.547660572	0.547879162
195	1.24	0.547084974	0.547754885
196	1.28	0.548039529	0.546851926
198	1.35	0.546220609	0.546898474
200	1.43	0.546034473	0.547290084
202	1.51	0.544088755	0.546075049
204	1.59	0.54381748	0.545053553
206	1.68	0.544739332	0.54485237
208	1.76	0.544520757	0.543680122
210	1.85	0.5439148	0.543655014
212	1.93	0.543338512	0.543304484
214	2.02	0.544421819	0.543194158
216	2.12	0.542231718	0.54408307
218	2.21	0.542671418	0.543346473
220	2.31	0.541586046	0.543076283
222	2.4	0.540693592	0.541730408
224	2.5	0.543329476	0.54176476
226	2.61	0.541481627	0.541750856
228	2.71	0.537614357	0.544521403
230	2.82	0.540902291	0.541530995
232	2.93	0.540675748	0.54088587
234	3.04	0.539994611	0.541289384
236	3.16	0.540295641	0.540316162
238	3.27	0.539719798	0.540625008
240	3.4	0.539540012	0.540356756
242	3.52	0.539171987	0.540170248
244	3.64	0.538656497	0.540602543
246	3.77	0.538494763	0.539737919
248	3.91	0.538491044	0.539128695
250	4.04	0.537940937	0.538720039
252	4.18	0.538050582	0.538680509
254	4.32	0.537399909	0.538862581
256	4.46	0.537250934	0.538902559
258	4.61	0.537045915	0.538717689
260	4.76	0.537295405	0.537901465
262	4.91	0.535793949	0.537136623
264	5.07	0.536219777	0.536885028
266	5.23	0.535606155	0.535410259
268	5.39	0.533955028	0.537575991
270	5.55	0.534959131	0.535544996
272	5.72	0.534721812	0.534936479
274	5.89	0.533671516	0.534953364
276	6.07	0.533753323	0.53411279
278	6.25	0.532262144	0.534131649
280	6.43	0.531992671	0.533308349
282	6.61	0.53119156	0.532492214
284	6.8	0.530583533	0.531784469
286	6.99	0.530278052	0.531152419
288	7.19	0.529446227	0.531209753
290	7.39	0.527862219	0.530953178
292	7.59	0.528267476	0.529570095
294	7.79	0.524653373	0.528717674
296	8	0.524301751	0.528266546
298	8.22	0.524487706	0.526175837
300	8.43	0.52355364	0.52353976
305	8.99	0.520778871	0.522241307
310	9.57	0.512126246	0.516858086
315	10.2	0.508310798	0.512349431
320	10.8	0.508197863	0.520539245
325	11.4	0.521194926	0.539732137
330	12.1	0.542784807	0.574865861
335	12.8	0.578982242	0.648482594
340	13.5	0.655015607	0.734540622
345	14.2	1.990667555	0.520512918
350	15.2	2.955749126	1.972649597
360	17.6	3.095198615	3.064961329
370	20.2	2.97697238	3.042244739
380	23.1	2.803977804	2.896209544
390	26.1	2.617064702	2.725564695
400	29.2	2.450861216	2.536407549
420	35.9	2.135346746	2.21969731
440	43	1.875181979	1.95535625
